AsSOC,current,diffTime
16839.8,8.44823,20.25
16720.9,-5.87649,20.234
16718,-0.141193,20.219
16779,3.00707,20.281
16829,2.46469,20.266
16878.3,2.43289,20.266
16820.9,-2.81836,20.359
16729.6,-4.46818,20.422
16760.6,1.51316,20.5
16772.9,0.60186,20.359
16621.1,-9.04523,16.781
16608.8,-0.650255,18.922
16678.1,3.83245,18.078
16777.9,5.50392,18.141
16699.6,-4.31307,18.172
16830.9,7.21948,18.187
16722.5,-5.96094,18.172
16861.9,7.66137,18.188
16850.1,-0.647951,18.203
16742.7,-5.91002,18.172
16584.8,-8.6739,18.203
16483.9,-5.55452,18.172
16385.5,-5.40148,18.203
16535.9,8.28361,18.156
16457.4,-4.30771,18.234
16527.8,3.87608,18.157
16409.1,-6.51384,18.218
16480.3,3.92578,18.141
16336.8,-7.86239,18.25
16262,-4.12253,18.156
16102.4,-8.79562,18.141
15993.4,-6.01011,18.14
15914.9,-4.33938,18.094
16010.8,5.27185,18.203
16083.9,4.01904,18.188
16067.1,-0.928995,18.14
16200.1,7.23179,18.391
16135.8,-3.5456,18.141
15953.8,-9.95135,18.281
15837.1,-6.37869,18.297
15684.5,-8.38418,18.203
15859.1,9.55117,18.281
15990.5,7.20049,18.25
16106.2,6.34856,18.219
16074.5,-1.74479,18.172
16108.2,1.83691,18.375
16279.3,9.41112,18.172
16320.5,2.26386,18.218
16384,3.50056,18.125
16299.4,-4.6121,18.329
16147.7,-8.2853,18.312
16123.8,-1.31333,18.219
16150.4,1.45431,18.312
16290.5,7.62315,18.375
16381.8,4.98897,18.313
16219.9,-8.88848,18.219
16118.6,-5.55795,18.234
16251.3,7.24027,18.328
16088.9,-8.90496,18.234
16247.3,8.64443,18.329
16397.8,8.24637,18.25
16486.2,4.82066,18.328
16507.7,1.17277,18.328
16355.6,-8.28793,18.344
16422.3,3.62868,18.375
16357.2,-3.53683,18.406
16434.2,4.17872,18.422
16611.8,9.68761,18.328
16444.7,-9.14017,18.281
16320,-6.74398,18.484
16454.1,7.32119,18.313
16484.7,1.66984,18.328
16595.9,6.03924,18.422
16462.5,-7.26362,18.375
16626.6,8.86408,18.516
16728.2,5.54069,18.343
16650.4,-4.22597,18.422
16660.5,0.550383,18.391
16756.2,5.21413,18.359
16757.7,0.0778433,18.391
16719.9,-2.05479,18.359
16758.8,2.11232,18.391
16691.6,-3.65367,18.39
16572.3,-6.4404,18.516
16687.9,6.25069,18.484
16607.6,-4.3549,18.438
16632.9,1.36987,18.453
16743.2,5.97032,18.484
16691.1,-2.81196,18.547
16708.1,0.925469,18.438
16882.6,9.43134,18.5
16886.1,0.186593,18.484
16760.2,-6.74931,18.641
16931.1,9.26567,18.437
16957.3,1.40528,18.672
17057.2,5.39898,18.5
17064.9,0.416414,18.578
16972.4,-4.98736,18.547
17036.1,3.43474,18.547
17051.5,0.826605,18.609
17004.5,-2.5415,18.5
17185.8,9.75045,18.594
17002.4,-9.881,18.563
17121.6,6.38716,18.672
17242.8,6.53273,18.546
17192.6,-2.70262,18.579
17219,1.42104,18.625
17262.3,2.31376,18.687
17377.9,6.17383,18.719
17473.7,5.12392,18.703
17596,6.55992,18.641
17628.3,1.72817,18.687
17443.4,-9.85115,18.766
17256.2,-9.99169,18.734
17267.7,0.614516,18.703
17246.6,-1.12337,18.75
17339.8,4.93677,18.86
17485.8,7.76461,18.812
17332.1,-8.18438,18.781
17260.5,-3.8299,18.703
17130.9,-6.92367,18.719
17134.1,0.172446,18.735
17311.6,9.45875,18.765
17167.8,-7.6055,18.906
17244,4.06803,18.735
17160.6,-4.40858,18.922
17329.4,8.95907,18.843
17411.4,4.35768,18.813
17299.1,-5.93557,18.922
17471.7,9.1429,18.875
17369.1,-5.43512,18.875
17488.6,6.3151,18.922
17440.5,-2.56482,18.75
17455,0.76641,18.968
17382.5,-3.8325,18.922
17355.9,-1.40478,18.938
17277.6,-4.12575,18.969
17126.3,-8.0365,18.828
17053.2,-3.85021,18.984
16970.8,-4.31442,19.094
17051.5,4.21849,19.125
16954,-5.10515,19.109
16863.8,-4.73152,19.063
16828.6,-1.8508,19.015
16690.5,-7.24798,19.047
16576.3,-5.96063,19.156
16653.3,4.00736,19.204
16682.1,1.50444,19.156
16844.2,8.51502,19.031
16853,0.464015,19.125
17027.3,9.1252,19.094
16891.5,-7.08722,19.156
17028.1,7.08121,19.281
17144.3,6.02889,19.282
16993.9,-7.7939,19.296
17118.4,6.49841,19.157
17111.1,-0.381203,19.234
17078,-1.72042,19.25
17103.2,1.31455,19.172
17192.9,4.64908,19.297
17245.2,2.70826,19.328
17362.9,6.07418,19.375
17275.1,-4.5488,19.312
17307.7,1.69285,19.297
17124.8,-9.45606,19.344
17189.5,3.3431,19.359
17289.1,5.1455,19.344
17476.8,9.67478,19.406
17443.3,-1.73022,19.391
17614.9,8.86039,19.375
17678.7,3.26884,19.516
17797.3,6.0863,19.484
17893,4.92282,19.438
17970.3,3.96874,19.484
17857.1,-5.80992,19.484
17817.6,-2.02801,19.469
17934,5.96886,19.5
17934,5.31123,19.406
17829.6,-5.37468,19.438
17851.8,1.13994,19.515
17865.4,0.694799,19.547
17737.4,-6.54142,19.563
17924,9.46055,19.719
17859.7,-3.27781,19.609
17810.5,-2.49847,19.703
17669.7,-7.16485,19.641
17763.7,4.78178,19.656
17632.3,-6.7027,19.609
17513.4,-6.03237,19.703
17678.4,8.31203,19.844
17833.6,7.81388,19.86
17936.6,5.14865,20.015
17936.6,5.45702,19.969
17936.6,4.50825,20.25
17985.7,2.44206,20.109
17858.6,-6.32656,20.094
17858.6,8.44823,20.25
17739.7,-5.87649,20.234
17736.8,-0.141193,20.219
17797.8,3.00707,20.281
17847.8,2.46469,20.266
17897.1,2.43289,20.266
17839.7,-2.81836,20.359
17748.5,-4.46818,20.422
17779.5,1.51316,20.5
